央视,#genre#
电视指南,http://218.68.52.217:8888/rtp/225.1.2.167:5002
电视指南,http://60.26.61.149:8000/rtp/225.1.2.167:5002
电视指南,http://111.167.64.129:4022/rtp/225.1.2.167:5002
卫视,#genre#
其他,#genre#
天津教育,http://218.68.52.217:8888/rtp/225.1.1.129:5002
天津教育,http://60.26.61.149:8000/rtp/225.1.1.129:5002
天津教育,http://111.167.64.129:4022/rtp/225.1.1.129:5002
天津都市,http://218.68.52.217:8888/rtp/225.1.1.128:5002
天津都市,http://60.26.61.149:8000/rtp/225.1.1.128:5002
天津都市,http://111.167.64.129:4022/rtp/225.1.1.128:5002

