993k  221.223.83.245:4022
986k  114.243.102.150:8888
976k  221.222.162.206:8888
971k  125.33.89.106:5566
963k  114.243.102.173:8888
957k  123.113.189.90:8001
949k  114.243.98.12:8888
940k  123.122.160.88:19999
936k  123.120.1.59:4022
927k  123.113.187.204:8000
920k  123.122.163.183:19999
913k  114.252.238.87:8000
886k  114.252.238.87:8000
866k  221.216.139.21:30002
862k  114.254.93.146:2222
858k  123.118.51.184:8686
856k  221.221.162.225:8888
854k  111.196.135.75:8686
848k  114.254.93.44:8864
817k  114.252.235.176:8000
808k  114.253.242.44:4022
674k  123.115.115.154:9000
353k  111.192.0.32:4022
309k  111.193.232.124:8888
275k  221.221.167.14:8888
265k  222.128.86.76:8133
222k  222.129.139.229:8888
186k  123.116.119.30:8012
146k  123.113.237.160:8888
128k  123.112.19.67:8012
